economy,period
Panama,2010Q01
Papua New Guinea,2010Q01
Paraguay,2010Q01
Peru,2010Q01
Philippines,2010Q01
Poland,2010Q01
Portugal,2010Q01
Puerto Rico,2010Q01
Qatar,2010Q01
Republic of Korea,2010Q01
Reunion,2010Q01
Romania,2010Q01
Russian Federation,2010Q01
Saint Kitts and Nevis,2010Q01
Saint Lucia,2010Q01
Saint Vincent and the Grenadines,2010Q01
Samoa,2010Q01
Sao Tome and Principe,2010Q01
Saudi Arabia,2010Q01
Senegal,2010Q01
Serbia and Montenegro,2010Q01
Seychelles,2010Q01
Sierra Leone,2010Q01
Singapore,2010Q01
Sint Maarten (Dutch part),2010Q01
Slovenia,2010Q01
Solomon Islands,2010Q01
Somalia,2010Q01
South Africa,2010Q01
Spain,2010Q01
Sri Lanka,2010Q01
Sudan,2010Q01
Sudan (...2011),2010Q01
Suriname,2010Q01
Sweden,2010Q01
Syrian Arab Republic,2010Q01
Thailand,2010Q01
Timor-Leste,2010Q01
Togo,2010Q01
Tonga,2010Q01
Trinidad and Tobago,2010Q01
Tunisia,2010Q01
Turkiye,2010Q01
Tuvalu,2010Q01
Ukraine,2010Q01
United Arab Emirates,2010Q01
United Kingdom,2010Q01
United Republic of Tanzania,2010Q01
United States,2010Q01
United States Virgin Islands,2010Q01
Uruguay,2010Q01
Vanuatu,2010Q01
Venezuela (Bolivarian Rep. of),2010Q01
Viet Nam,2010Q01
Wallis and Futuna Islands,2010Q01
Yemen,2010Q01
Albania,2010Q02
Algeria,2010Q02
American Samoa,2010Q02
Angola,2010Q02
Antigua and Barbuda,2010Q02
Argentina,2010Q02
Aruba,2010Q02
Australia,2010Q02
Bahamas,2010Q02
Bahrain,2010Q02
Bangladesh,2010Q02
Barbados,2010Q02
Belgium,2010Q02
Belize,2010Q02
Benin,2010Q02
Bermuda,2010Q02
"Bonaire, Sint Eustatius and Saba",2010Q02
Brazil,2010Q02
British Virgin Islands,2010Q02
Brunei Darussalam,2010Q02
Bulgaria,2010Q02
Cabo Verde,2010Q02
Cambodia,2010Q02
Cameroon,2010Q02
Canada,2010Q02
Cayman Islands,2010Q02
Chile,2010Q02
China,2010Q02
"China, Hong Kong SAR",2010Q02
"China, Taiwan Province of",2010Q02
Colombia,2010Q02
Comoros,2010Q02
Congo,2010Q02
Cook Islands,2010Q02
Costa Rica,2010Q02
Cote d'Ivoire,2010Q02
Croatia,2010Q02
Cuba,2010Q02
Curacao,2010Q02
Cyprus,2010Q02
Dem. People's Rep. of Korea,2010Q02
Dem. Rep. of the Congo,2010Q02
Denmark,2010Q02
Djibouti,2010Q02
Dominica,2010Q02
Dominican Republic,2010Q02
Ecuador,2010Q02
Egypt,2010Q02
El Salvador,2010Q02
Equatorial Guinea,2010Q02
Estonia,2010Q02
Falkland Islands (Malvinas),2010Q02
Faroe Islands,2010Q02
Fiji,2010Q02
Finland,2010Q02
France,2010Q02
French Guiana,2010Q02
French Polynesia,2010Q02
Gabon,2010Q02
Gambia,2010Q02
Georgia,2010Q02
Germany,2010Q02
Ghana,2010Q02
Gibraltar,2010Q02
Greece,2010Q02
Grenada,2010Q02
Guadeloupe,2010Q02
Guam,2010Q02
Guatemala,2010Q02
Guernsey,2010Q02
Guinea,2010Q02
Guinea-Bissau,2010Q02
Guyana,2010Q02
Haiti,2010Q02
Honduras,2010Q02
Iceland,2010Q02
India,2010Q02
Indonesia,2010Q02
Iran (Islamic Republic of),2010Q02
Iraq,2010Q02
Ireland,2010Q02
Israel,2010Q02
Italy,2010Q02
Jamaica,2010Q02
Japan,2010Q02
Jersey,2010Q02
Jordan,2010Q02
Kenya,2010Q02
Kiribati,2010Q02
Kuwait,2010Q02
Latvia,2010Q02
Lebanon,2010Q02
Liberia,2010Q02
Libya,2010Q02
Lithuania,2010Q02
Madagascar,2010Q02
Malaysia,2010Q02
Maldives,2010Q02
Malta,2010Q02
Marshall Islands,2010Q02
Martinique,2010Q02
Mauritania,2010Q02
Mauritius,2010Q02
Mayotte,2010Q02
Mexico,2010Q02
Micronesia (Federated States of),2010Q02
Montenegro,2010Q02
Morocco,2010Q02
Mozambique,2010Q02
Myanmar,2010Q02
Namibia,2010Q02
Netherlands (Kingdom of the),2010Q02
Netherlands Antilles,2010Q02
New Caledonia,2010Q02
New Zealand,2010Q02
Nicaragua,2010Q02
Nigeria,2010Q02
Norfolk Island,2010Q02
Northern Mariana Islands,2010Q02
Norway,2010Q02
Oman,2010Q02
Pakistan,2010Q02
Palau,2010Q02
Panama,2010Q02
Papua New Guinea,2010Q02
Paraguay,2010Q02
Peru,2010Q02
Philippines,2010Q02
Poland,2010Q02
Portugal,2010Q02
Puerto Rico,2010Q02
Qatar,2010Q02
Republic of Korea,2010Q02
Reunion,2010Q02
Romania,2010Q02
Russian Federation,2010Q02
Saint Kitts and Nevis,2010Q02
Saint Lucia,2010Q02
Saint Vincent and the Grenadines,2010Q02
Samoa,2010Q02
Sao Tome and Principe,2010Q02
Saudi Arabia,2010Q02
Senegal,2010Q02
Serbia and Montenegro,2010Q02
Seychelles,2010Q02
Sierra Leone,2010Q02
Singapore,2010Q02
Sint Maarten (Dutch part),2010Q02
Slovenia,2010Q02
Solomon Islands,2010Q02
Somalia,2010Q02
South Africa,2010Q02
Spain,2010Q02
Sri Lanka,2010Q02
Sudan,2010Q02
Sudan (...2011),2010Q02
Suriname,2010Q02
Sweden,2010Q02
Syrian Arab Republic,2010Q02
Thailand,2010Q02
Timor-Leste,2010Q02
Togo,2010Q02
Tonga,2010Q02
Trinidad and Tobago,2010Q02
Tunisia,2010Q02
Turkiye,2010Q02
Tuvalu,2010Q02
Ukraine,2010Q02
United Arab Emirates,2010Q02
United Kingdom,2010Q02
United Republic of Tanzania,2010Q02
United States,2010Q02
United States Virgin Islands,2010Q02
Uruguay,2010Q02
Vanuatu,2010Q02
Venezuela (Bolivarian Rep. of),2010Q02
Viet Nam,2010Q02
Wallis and Futuna Islands,2010Q02
Yemen,2010Q02
Albania,2010Q03
Algeria,2010Q03
American Samoa,2010Q03
Angola,2010Q03
Antigua and Barbuda,2010Q03
Argentina,2010Q03
Aruba,2010Q03
Australia,2010Q03
Bahamas,2010Q03
Bahrain,2010Q03
Bangladesh,2010Q03
Barbados,2010Q03
Belgium,2010Q03
Belize,2010Q03
Benin,2010Q03
Bermuda,2010Q03
"Bonaire, Sint Eustatius and Saba",2010Q03
Brazil,2010Q03
British Virgin Islands,2010Q03
Brunei Darussalam,2010Q03
Bulgaria,2010Q03
Cabo Verde,2010Q03
Cambodia,2010Q03
Cameroon,2010Q03
Canada,2010Q03
Cayman Islands,2010Q03
Chile,2010Q03
China,2010Q03
"China, Hong Kong SAR",2010Q03
"China, Taiwan Province of",2010Q03
Colombia,2010Q03
Comoros,2010Q03
Congo,2010Q03
Cook Islands,2010Q03
Costa Rica,2010Q03
Cote d'Ivoire,2010Q03
Croatia,2010Q03
Cuba,2010Q03
Curacao,2010Q03
Cyprus,2010Q03
Dem. People's Rep. of Korea,2010Q03
Dem. Rep. of the Congo,2010Q03
Denmark,2010Q03
Djibouti,2010Q03
Dominica,2010Q03
Dominican Republic,2010Q03
Ecuador,2010Q03
Egypt,2010Q03
El Salvador,2010Q03
Equatorial Guinea,2010Q03
Estonia,2010Q03
Falkland Islands (Malvinas),2010Q03
Faroe Islands,2010Q03
Fiji,2010Q03
Finland,2010Q03
France,2010Q03
French Guiana,2010Q03
French Polynesia,2010Q03
Gabon,2010Q03
Gambia,2010Q03
Georgia,2010Q03
Germany,2010Q03
Ghana,2010Q03
Gibraltar,2010Q03
Greece,2010Q03
Grenada,2010Q03
Guadeloupe,2010Q03
Guam,2010Q03
Guatemala,2010Q03
Guernsey,2010Q03
Guinea,2010Q03
Guinea-Bissau,2010Q03
Guyana,2010Q03
Haiti,2010Q03
Honduras,2010Q03
Iceland,2010Q03
India,2010Q03
Indonesia,2010Q03
Iran (Islamic Republic of),2010Q03
Iraq,2010Q03
Ireland,2010Q03
Israel,2010Q03
Italy,2010Q03
Jamaica,2010Q03
Japan,2010Q03
Jersey,2010Q03
Jordan,2010Q03
Kenya,2010Q03
Kiribati,2010Q03
Kuwait,2010Q03
Latvia,2010Q03
Lebanon,2010Q03
Liberia,2010Q03
Libya,2010Q03
Lithuania,2010Q03
Madagascar,2010Q03
Malaysia,2010Q03
Maldives,2010Q03
Malta,2010Q03
Marshall Islands,2010Q03
Martinique,2010Q03
Mauritania,2010Q03
Mauritius,2010Q03
Mayotte,2010Q03
Mexico,2010Q03
Micronesia (Federated States of),2010Q03
Montenegro,2010Q03
Morocco,2010Q03
Mozambique,2010Q03
Myanmar,2010Q03
Namibia,2010Q03
Nauru,2010Q03
Netherlands (Kingdom of the),2010Q03
Netherlands Antilles,2010Q03
New Caledonia,2010Q03
New Zealand,2010Q03
Nicaragua,2010Q03
Nigeria,2010Q03
Niue,2010Q03
Norfolk Island,2010Q03
Northern Mariana Islands,2010Q03
Norway,2010Q03
Oman,2010Q03
Pakistan,2010Q03
Palau,2010Q03
Panama,2010Q03
Papua New Guinea,2010Q03
Paraguay,2010Q03
Peru,2010Q03
Philippines,2010Q03
Poland,2010Q03
Portugal,2010Q03
Puerto Rico,2010Q03
Qatar,2010Q03
Republic of Korea,2010Q03
Reunion,2010Q03
Romania,2010Q03
Russian Federation,2010Q03
Saint Kitts and Nevis,2010Q03
Saint Lucia,2010Q03
Saint Vincent and the Grenadines,2010Q03
Samoa,2010Q03
Sao Tome and Principe,2010Q03
Saudi Arabia,2010Q03
Senegal,2010Q03
Serbia and Montenegro,2010Q03
Seychelles,2010Q03
Sierra Leone,2010Q03
Singapore,2010Q03
Sint Maarten (Dutch part),2010Q03
Slovenia,2010Q03
Solomon Islands,2010Q03
Somalia,2010Q03
South Africa,2010Q03
Spain,2010Q03
Sri Lanka,2010Q03
Sudan,2010Q03
Sudan (...2011),2010Q03
Suriname,2010Q03
Sweden,2010Q03
Syrian Arab Republic,2010Q03
Thailand,2010Q03
Timor-Leste,2010Q03
Togo,2010Q03
Tonga,2010Q03
Trinidad and Tobago,2010Q03
Tunisia,2010Q03
Turkiye,2010Q03
Tuvalu,2010Q03
Ukraine,2010Q03
United Arab Emirates,2010Q03
United Kingdom,2010Q03
United Republic of Tanzania,2010Q03
United States,2010Q03
United States Virgin Islands,2010Q03
Uruguay,2010Q03
Vanuatu,2010Q03
Venezuela (Bolivarian Rep. of),2010Q03
Viet Nam,2010Q03
Wallis and Futuna Islands,2010Q03
Yemen,2010Q03
Albania,2010Q04
Algeria,2010Q04
American Samoa,2010Q04
Angola,2010Q04
Anguilla,2010Q04
Antigua and Barbuda,2010Q04
Argentina,2010Q04
Aruba,2010Q04
Australia,2010Q04
Bahamas,2010Q04
Bahrain,2010Q04
Bangladesh,2010Q04
Barbados,2010Q04
Belgium,2010Q04
Belize,2010Q04
Benin,2010Q04
Bermuda,2010Q04
"Bonaire, Sint Eustatius and Saba",2010Q04
Brazil,2010Q04
British Virgin Islands,2010Q04
Brunei Darussalam,2010Q04
Bulgaria,2010Q04
Cabo Verde,2010Q04
Cambodia,2010Q04
Cameroon,2010Q04
Canada,2010Q04
Cayman Islands,2010Q04
Chile,2010Q04
China,2010Q04
"China, Hong Kong SAR",2010Q04
"China, Taiwan Province of",2010Q04
Colombia,2010Q04
Comoros,2010Q04
Congo,2010Q04
Cook Islands,2010Q04
Costa Rica,2010Q04
Cote d'Ivoire,2010Q04
Croatia,2010Q04
Cuba,2010Q04
Curacao,2010Q04
Cyprus,2010Q04
Dem. People's Rep. of Korea,2010Q04
Dem. Rep. of the Congo,2010Q04
Denmark,2010Q04
Djibouti,2010Q04
Dominica,2010Q04
Dominican Republic,2010Q04
Ecuador,2010Q04
Egypt,2010Q04
El Salvador,2010Q04
Equatorial Guinea,2010Q04
Estonia,2010Q04
Falkland Islands (Malvinas),2010Q04
Faroe Islands,2010Q04
Fiji,2010Q04
Finland,2010Q04
France,2010Q04
French Guiana,2010Q04
French Polynesia,2010Q04
Gabon,2010Q04
Gambia,2010Q04
Georgia,2010Q04
Germany,2010Q04
Ghana,2010Q04
Gibraltar,2010Q04
Greece,2010Q04
Grenada,2010Q04
Guadeloupe,2010Q04
Guam,2010Q04
Guatemala,2010Q04
Guernsey,2010Q04
Guinea,2010Q04
Guinea-Bissau,2010Q04
Guyana,2010Q04
Haiti,2010Q04
Honduras,2010Q04
Iceland,2010Q04
India,2010Q04
Indonesia,2010Q04
Iran (Islamic Republic of),2010Q04
Iraq,2010Q04
Ireland,2010Q04
Israel,2010Q04
Italy,2010Q04
Jamaica,2010Q04
Japan,2010Q04
Jersey,2010Q04
Jordan,2010Q04
Kenya,2010Q04
Kiribati,2010Q04
Kuwait,2010Q04
Latvia,2010Q04
Lebanon,2010Q04
Liberia,2010Q04
Libya,2010Q04
Lithuania,2010Q04
Madagascar,2010Q04
Malaysia,2010Q04
Maldives,2010Q04
Malta,2010Q04
Marshall Islands,2010Q04
Martinique,2010Q04
Mauritania,2010Q04
Mauritius,2010Q04
Mayotte,2010Q04
Mexico,2010Q04
Micronesia (Federated States of),2010Q04
Montenegro,2010Q04
Montserrat,2010Q04
Morocco,2010Q04
Mozambique,2010Q04
Myanmar,2010Q04
Namibia,2010Q04
Nauru,2010Q04
Netherlands (Kingdom of the),2010Q04
Netherlands Antilles,2010Q04
New Caledonia,2010Q04
New Zealand,2010Q04
Nicaragua,2010Q04
Nigeria,2010Q04
Niue,2010Q04
Norfolk Island,2010Q04
Northern Mariana Islands,2010Q04
Norway,2010Q04
Oman,2010Q04
Pakistan,2010Q04
Palau,2010Q04
Panama,2010Q04
Papua New Guinea,2010Q04
Paraguay,2010Q04
Peru,2010Q04
Philippines,2010Q04
Poland,2010Q04
Portugal,2010Q04
Puerto Rico,2010Q04
Qatar,2010Q04
Republic of Korea,2010Q04
Reunion,2010Q04
Romania,2010Q04
Russian Federation,2010Q04
Saint Kitts and Nevis,2010Q04
Saint Lucia,2010Q04
Saint Vincent and the Grenadines,2010Q04
Samoa,2010Q04
Sao Tome and Principe,2010Q04
Saudi Arabia,2010Q04
Senegal,2010Q04
Serbia and Montenegro,2010Q04
Seychelles,2010Q04
Sierra Leone,2010Q04
Singapore,2010Q04
Sint Maarten (Dutch part),2010Q04
Slovenia,2010Q04
Solomon Islands,2010Q04
Somalia,2010Q04
South Africa,2010Q04
Spain,2010Q04
Sri Lanka,2010Q04
Sudan,2010Q04
Sudan (...2011),2010Q04
Suriname,2010Q04
Sweden,2010Q04
Syrian Arab Republic,2010Q04
Thailand,2010Q04
Timor-Leste,2010Q04
Togo,2010Q04
Tonga,2010Q04
Trinidad and Tobago,2010Q04
Tunisia,2010Q04
Turkiye,2010Q04
Tuvalu,2010Q04
Ukraine,2010Q04
United Arab Emirates,2010Q04
United Kingdom,2010Q04
United Republic of Tanzania,2010Q04
United States,2010Q04
United States Virgin Islands,2010Q04
Uruguay,2010Q04
Vanuatu,2010Q04
Venezuela (Bolivarian Rep. of),2010Q04
Viet Nam,2010Q04
Wallis and Futuna Islands,2010Q04
Yemen,2010Q04
Albania,2011Q01
Algeria,2011Q01
American Samoa,2011Q01
Angola,2011Q01
Antigua and Barbuda,2011Q01
Argentina,2011Q01
Aruba,2011Q01
Australia,2011Q01
Bahamas,2011Q01
Bahrain,2011Q01
Bangladesh,2011Q01
Barbados,2011Q01
Belgium,2011Q01
Belize,2011Q01
Benin,2011Q01
Bermuda,2011Q01
"Bonaire, Sint Eustatius and Saba",2011Q01
Brazil,2011Q01
British Virgin Islands,2011Q01
Brunei Darussalam,2011Q01
Bulgaria,2011Q01
Cabo Verde,2011Q01
Cambodia,2011Q01
Cameroon,2011Q01
Canada,2011Q01
Cayman Islands,2011Q01
Chile,2011Q01
China,2011Q01
"China, Hong Kong SAR",2011Q01
"China, Taiwan Province of",2011Q01
Colombia,2011Q01
Comoros,2011Q01
Congo,2011Q01
Cook Islands,2011Q01
Costa Rica,2011Q01
Cote d'Ivoire,2011Q01
Croatia,2011Q01
Cuba,2011Q01
Curacao,2011Q01
Cyprus,2011Q01
Dem. People's Rep. of Korea,2011Q01
Dem. Rep. of the Congo,2011Q01
Denmark,2011Q01
Djibouti,2011Q01
Dominica,2011Q01
Dominican Republic,2011Q01
Ecuador,2011Q01
Egypt,2011Q01
El Salvador,2011Q01
Equatorial Guinea,2011Q01
Estonia,2011Q01
Falkland Islands (Malvinas),2011Q01
Faroe Islands,2011Q01
Fiji,2011Q01
Finland,2011Q01
France,2011Q01
French Guiana,2011Q01
French Polynesia,2011Q01
Gabon,2011Q01
Gambia,2011Q01
Georgia,2011Q01
Germany,2011Q01
Ghana,2011Q01
Gibraltar,2011Q01
Greece,2011Q01
Grenada,2011Q01
Guadeloupe,2011Q01
Guam,2011Q01
Guatemala,2011Q01
Guernsey,2011Q01
Guinea,2011Q01
Guinea-Bissau,2011Q01
Guyana,2011Q01
Haiti,2011Q01
Honduras,2011Q01
Iceland,2011Q01
India,2011Q01
Indonesia,2011Q01
Iran (Islamic Republic of),2011Q01
Iraq,2011Q01
Ireland,2011Q01
Israel,2011Q01
Italy,2011Q01
Jamaica,2011Q01
Japan,2011Q01
Jersey,2011Q01
Jordan,2011Q01
Kenya,2011Q01
Kiribati,2011Q01
Kuwait,2011Q01
Latvia,2011Q01
Lebanon,2011Q01
Liberia,2011Q01
Libya,2011Q01
Lithuania,2011Q01
Madagascar,2011Q01
Malaysia,2011Q01
Maldives,2011Q01
Malta,2011Q01
Marshall Islands,2011Q01
Martinique,2011Q01
Mauritania,2011Q01
Mauritius,2011Q01
Mayotte,2011Q01
Mexico,2011Q01
Micronesia (Federated States of),2011Q01
Montenegro,2011Q01
Morocco,2011Q01
Mozambique,2011Q01
Myanmar,2011Q01
Namibia,2011Q01
Nauru,2011Q01
Netherlands (Kingdom of the),2011Q01
Netherlands Antilles,2011Q01
New Caledonia,2011Q01
New Zealand,2011Q01
Nicaragua,2011Q01
Nigeria,2011Q01
Niue,2011Q01
Norfolk Island,2011Q01
Northern Mariana Islands,2011Q01
Norway,2011Q01
Oman,2011Q01
Pakistan,2011Q01
Palau,2011Q01
Panama,2011Q01
Papua New Guinea,2011Q01
Paraguay,2011Q01
Peru,2011Q01
Philippines,2011Q01
Poland,2011Q01
Portugal,2011Q01
Puerto Rico,2011Q01
Qatar,2011Q01
Republic of Korea,2011Q01
Reunion,2011Q01
Romania,2011Q01
Russian Federation,2011Q01
Saint Kitts and Nevis,2011Q01
Saint Lucia,2011Q01
Saint Vincent and the Grenadines,2011Q01
Samoa,2011Q01
Sao Tome and Principe,2011Q01
Saudi Arabia,2011Q01
Senegal,2011Q01
Serbia and Montenegro,2011Q01
Seychelles,2011Q01
Sierra Leone,2011Q01
Singapore,2011Q01
Sint Maarten (Dutch part),2011Q01
Slovenia,2011Q01
Solomon Islands,2011Q01
Somalia,2011Q01
South Africa,2011Q01
Spain,2011Q01
Sri Lanka,2011Q01
Sudan,2011Q01
Sudan (...2011),2011Q01
Suriname,2011Q01
Sweden,2011Q01
Syrian Arab Republic,2011Q01
Thailand,2011Q01
Timor-Leste,2011Q01
Togo,2011Q01
Tonga,2011Q01
Trinidad and Tobago,2011Q01
Tunisia,2011Q01
Turkiye,2011Q01
Tuvalu,2011Q01
Ukraine,2011Q01
United Arab Emirates,2011Q01
United Kingdom,2011Q01
United Republic of Tanzania,2011Q01
United States,2011Q01
United States Virgin Islands,2011Q01
Uruguay,2011Q01
Vanuatu,2011Q01
Venezuela (Bolivarian Rep. of),2011Q01
Viet Nam,2011Q01
Wallis and Futuna Islands,2011Q01
Yemen,2011Q01
Albania,2011Q02
Algeria,2011Q02
American Samoa,2011Q02
Angola,2011Q02
Antigua and Barbuda,2011Q02
Argentina,2011Q02
Aruba,2011Q02
Australia,2011Q02
Bahamas,2011Q02
Bahrain,2011Q02
Bangladesh,2011Q02
Barbados,2011Q02
Belgium,2011Q02
Belize,2011Q02
Benin,2011Q02
Bermuda,2011Q02
"Bonaire, Sint Eustatius and Saba",2011Q02
Brazil,2011Q02
British Virgin Islands,2011Q02
Brunei Darussalam,2011Q02
Bulgaria,2011Q02
Cabo Verde,2011Q02
Cambodia,2011Q02
Cameroon,2011Q02
Canada,2011Q02
Cayman Islands,2011Q02
Chile,2011Q02
China,2011Q02
"China, Hong Kong SAR",2011Q02
"China, Taiwan Province of",2011Q02
Colombia,2011Q02
Comoros,2011Q02
Congo,2011Q02
Cook Islands,2011Q02
Costa Rica,2011Q02
Cote d'Ivoire,2011Q02
Croatia,2011Q02
Cuba,2011Q02
Curacao,2011Q02
Cyprus,2011Q02
Dem. People's Rep. of Korea,2011Q02
Dem. Rep. of the Congo,2011Q02
Denmark,2011Q02
Djibouti,2011Q02
Dominica,2011Q02
Dominican Republic,2011Q02
Ecuador,2011Q02
Egypt,2011Q02
El Salvador,2011Q02
Equatorial Guinea,2011Q02
Estonia,2011Q02
Faroe Islands,2011Q02
Fiji,2011Q02
Finland,2011Q02
France,2011Q02
French Guiana,2011Q02
French Polynesia,2011Q02
Gabon,2011Q02
Gambia,2011Q02
Georgia,2011Q02
Germany,2011Q02
Ghana,2011Q02
Gibraltar,2011Q02
Greece,2011Q02
Grenada,2011Q02
Guadeloupe,2011Q02
Guam,2011Q02
Guatemala,2011Q02
Guernsey,2011Q02
Guinea,2011Q02
Guinea-Bissau,2011Q02
Guyana,2011Q02
Haiti,2011Q02
Honduras,2011Q02
Iceland,2011Q02
India,2011Q02
Indonesia,2011Q02
Iran (Islamic Republic of),2011Q02
Iraq,2011Q02
Ireland,2011Q02
Israel,2011Q02
Italy,2011Q02
Jamaica,2011Q02
Japan,2011Q02
Jersey,2011Q02
Jordan,2011Q02
Kenya,2011Q02
Kiribati,2011Q02
Kuwait,2011Q02
Latvia,2011Q02
Lebanon,2011Q02
Liberia,2011Q02
Libya,2011Q02
Lithuania,2011Q02
Madagascar,2011Q02
Malaysia,2011Q02
Maldives,2011Q02
Malta,2011Q02
Marshall Islands,2011Q02
Martinique,2011Q02
Mauritania,2011Q02
Mauritius,2011Q02
Mayotte,2011Q02
Mexico,2011Q02
Micronesia (Federated States of),2011Q02
Montenegro,2011Q02
Morocco,2011Q02
Mozambique,2011Q02
Myanmar,2011Q02
Namibia,2011Q02
Nauru,2011Q02
Netherlands (Kingdom of the),2011Q02
Netherlands Antilles,2011Q02
New Caledonia,2011Q02
New Zealand,2011Q02
Nicaragua,2011Q02
Nigeria,2011Q02
Niue,2011Q02
Norfolk Island,2011Q02
Northern Mariana Islands,2011Q02
Norway,2011Q02
Oman,2011Q02
Pakistan,2011Q02
Palau,2011Q02
Panama,2011Q02
Papua New Guinea,2011Q02
Paraguay,2011Q02
Peru,2011Q02
Philippines,2011Q02
Poland,2011Q02
Portugal,2011Q02
Puerto Rico,2011Q02
Qatar,2011Q02
Republic of Korea,2011Q02
Reunion,2011Q02
Romania,2011Q02
Russian Federation,2011Q02
Saint Kitts and Nevis,2011Q02
Saint Lucia,2011Q02
Saint Vincent and the Grenadines,2011Q02
Samoa,2011Q02
Sao Tome and Principe,2011Q02
Saudi Arabia,2011Q02
Senegal,2011Q02
Serbia and Montenegro,2011Q02
Seychelles,2011Q02
Sierra Leone,2011Q02
Singapore,2011Q02
Sint Maarten (Dutch part),2011Q02
Slovenia,2011Q02
Solomon Islands,2011Q02
Somalia,2011Q02
South Africa,2011Q02
Spain,2011Q02
Sri Lanka,2011Q02
Sudan,2011Q02
Sudan (...2011),2011Q02
Suriname,2011Q02
Sweden,2011Q02
Syrian Arab Republic,2011Q02
Thailand,2011Q02
Timor-Leste,2011Q02
Togo,2011Q02
Tonga,2011Q02
Trinidad and Tobago,2011Q02
Tunisia,2011Q02
Turkiye,2011Q02
Tuvalu,2011Q02
Ukraine,2011Q02
United Arab Emirates,2011Q02
United Kingdom,2011Q02
United Republic of Tanzania,2011Q02
United States,2011Q02
United States Virgin Islands,2011Q02
Uruguay,2011Q02
Vanuatu,2011Q02
Venezuela (Bolivarian Rep. of),2011Q02
Viet Nam,2011Q02
Wallis and Futuna Islands,2011Q02
Yemen,2011Q02
Albania,2011Q03
Algeria,2011Q03
American Samoa,2011Q03
Angola,2011Q03
Antigua and Barbuda,2011Q03
Argentina,2011Q03
Aruba,2011Q03
Australia,2011Q03
Bahamas,2011Q03
Bahrain,2011Q03
Bangladesh,2011Q03
Barbados,2011Q03
Belgium,2011Q03
Belize,2011Q03
Benin,2011Q03
Bermuda,2011Q03
Brazil,2011Q03
British Virgin Islands,2011Q03
Brunei Darussalam,2011Q03
Bulgaria,2011Q03
Cabo Verde,2011Q03
Cambodia,2011Q03
Cameroon,2011Q03
Canada,2011Q03
Cayman Islands,2011Q03
Chile,2011Q03
China,2011Q03
"China, Hong Kong SAR",2011Q03
"China, Taiwan Province of",2011Q03
Colombia,2011Q03
Comoros,2011Q03
Congo,2011Q03
Cook Islands,2011Q03
Costa Rica,2011Q03
Cote d'Ivoire,2011Q03
Croatia,2011Q03
Cuba,2011Q03
Curacao,2011Q03
Cyprus,2011Q03
Dem. People's Rep. of Korea,2011Q03
Dem. Rep. of the Congo,2011Q03
Denmark,2011Q03
Djibouti,2011Q03
Dominica,2011Q03
Dominican Republic,2011Q03
Ecuador,2011Q03
Egypt,2011Q03
El Salvador,2011Q03
Equatorial Guinea,2011Q03
Estonia,2011Q03
Faroe Islands,2011Q03
Fiji,2011Q03
Finland,2011Q03
France,2011Q03
French Guiana,2011Q03
French Polynesia,2011Q03
Gabon,2011Q03
Gambia,2011Q03
Georgia,2011Q03
Germany,2011Q03
Ghana,2011Q03
Gibraltar,2011Q03
Greece,2011Q03
Grenada,2011Q03
Guadeloupe,2011Q03
Guam,2011Q03
Guatemala,2011Q03
Guernsey,2011Q03
Guinea,2011Q03
Guinea-Bissau,2011Q03
Guyana,2011Q03
Haiti,2011Q03
Honduras,2011Q03
Iceland,2011Q03
India,2011Q03
Indonesia,2011Q03
Iran (Islamic Republic of),2011Q03
Iraq,2011Q03
Ireland,2011Q03
Israel,2011Q03
Italy,2011Q03
Jamaica,2011Q03
Japan,2011Q03
Jersey,2011Q03
Jordan,2011Q03
Kenya,2011Q03
Kiribati,2011Q03
Kuwait,2011Q03
Latvia,2011Q03
Lebanon,2011Q03
Liberia,2011Q03
Libya,2011Q03
Lithuania,2011Q03
Madagascar,2011Q03
Malaysia,2011Q03
Maldives,2011Q03
Malta,2011Q03
Marshall Islands,2011Q03
Martinique,2011Q03
Mauritania,2011Q03
Mauritius,2011Q03
Mayotte,2011Q03
Mexico,2011Q03
Micronesia (Federated States of),2011Q03
Montenegro,2011Q03
Morocco,2011Q03
Mozambique,2011Q03
Myanmar,2011Q03
Namibia,2011Q03
Nauru,2011Q03
Netherlands (Kingdom of the),2011Q03
Netherlands Antilles,2011Q03
New Caledonia,2011Q03
New Zealand,2011Q03
Nicaragua,2011Q03
Nigeria,2011Q03
Niue,2011Q03
Norfolk Island,2011Q03
Northern Mariana Islands,2011Q03
Norway,2011Q03
Oman,2011Q03
Pakistan,2011Q03
Palau,2011Q03
Panama,2011Q03
Papua New Guinea,2011Q03
Paraguay,2011Q03
Peru,2011Q03
Philippines,2011Q03
Poland,2011Q03
Portugal,2011Q03
Puerto Rico,2011Q03
Qatar,2011Q03
Republic of Korea,2011Q03
Reunion,2011Q03
Romania,2011Q03
Russian Federation,2011Q03
Saint Kitts and Nevis,2011Q03
Saint Lucia,2011Q03
Saint Vincent and the Grenadines,2011Q03
Samoa,2011Q03
Sao Tome and Principe,2011Q03
Saudi Arabia,2011Q03
Senegal,2011Q03
Serbia and Montenegro,2011Q03
Seychelles,2011Q03
Sierra Leone,2011Q03
Singapore,2011Q03
Sint Maarten (Dutch part),2011Q03
Slovenia,2011Q03
Solomon Islands,2011Q03
Somalia,2011Q03
